"site";"species";"longitude";"latitude";"count";"sla";"n_mass";"wood_dens"
"PA_76856094010538";"acer_pensylvanicum";-78,60508;39,91707;7;25,2665021666667;2,221025493;0,44
"PA_68287127010538";"acer_pensylvanicum";-77,54087;40,35293;2;25,2665021666667;2,221025493;0,44
"PA_76855646010538";"acer_pensylvanicum";-78,30221;40,18796;4;25,2665021666667;2,221025493;0,44
"PA_58581106010538";"acer_pensylvanicum";-79,285696;40,042435;2;25,2665021666667;2,221025493;0,44
"PA_145019955010661";"acer_pensylvanicum";-77,053483;40,371832;3;25,2665021666667;2,221025493;0,44
"PA_10716167010661";"acer_pensylvanicum";-78,30529;41,02784;1;25,2665021666667;2,221025493;0,44
"PA_58581599010538";"acer_pensylvanicum";-76,538343;41,480554;7;25,2665021666667;2,221025493;0,44
"PA_10752222010661";"acer_pensylvanicum";-78,86086;41,13895;2;25,2665021666667;2,221025493;0,44
"PA_10789064010661";"acer_pensylvanicum";-77,83305;41,66673;2;25,2665021666667;2,221025493;0,44
"PA_58581253010538";"acer_pensylvanicum";-76,642307;41,348202;1;25,2665021666667;2,221025493;0,44
"PA_10701544010661";"acer_pensylvanicum";-78,52752;40,61118;2;25,2665021666667;2,221025493;0,44
"PA_10791588010661";"acer_pensylvanicum";-75,99965;40,8612;1;25,2665021666667;2,221025493;0,44
"PA_247104642010661";"acer_pensylvanicum";-78,14265;40,45806;1;25,2665021666667;2,221025493;0,44
"PA_113493313010661";"acer_pensylvanicum";-78,563087;41,675247;5;25,2665021666667;2,221025493;0,44
"PA_122562062010661";"acer_pensylvanicum";-78,30595;40,70657;2;25,2665021666667;2,221025493;0,44
"PA_145020193010661";"acer_pensylvanicum";-77,376197;41,30277;1;25,2665021666667;2,221025493;0,44
"PA_68282270010538";"acer_pensylvanicum";-78,72795;41,89004;1;25,2665021666667;2,221025493;0,44
"PA_145019913010661";"acer_pensylvanicum";-76,642307;41,348202;3;25,2665021666667;2,221025493;0,44
"PA_10789521010661";"acer_pensylvanicum";-77,94416;41,55562;1;25,2665021666667;2,221025493;0,44
"PA_145020191010661";"acer_pensylvanicum";-77,229053;41,531534;19;25,2665021666667;2,221025493;0,44
"PA_76858213010538";"acer_pensylvanicum";-78,22077;40,59888;1;25,2665021666667;2,221025493;0,44
"PA_122562188010661";"acer_pensylvanicum";-78,42257;41,69591;3;25,2665021666667;2,221025493;0,44
"PA_145020159010661";"acer_pensylvanicum";-77,773578;40,035492;9;25,2665021666667;2,221025493;0,44
"PA_10701956010661";"acer_pensylvanicum";-78,69419;40,36119;1;25,2665021666667;2,221025493;0,44
"PA_122562202010661";"acer_pensylvanicum";-78,58333;41,40811;1;25,2665021666667;2,221025493;0,44
"PA_145019949010661";"acer_pensylvanicum";-76,821869;40,440157;1;25,2665021666667;2,221025493;0,44
"PA_145020109010661";"acer_pensylvanicum";-77,266502;41,162615;2;25,2665021666667;2,221025493;0,44
"PA_113493315010661";"acer_pensylvanicum";-78,710916;41,760575;2;25,2665021666667;2,221025493;0,44
"PA_58536922010538";"acer_pensylvanicum";-77,266502;41,162615;2;25,2665021666667;2,221025493;0,44
"PA_145020143010661";"acer_pensylvanicum";-77,730028;40,399634;8;25,2665021666667;2,221025493;0,44
"PA_68282470010538";"acer_pensylvanicum";-78,68389;41,65933;13;25,2665021666667;2,221025493;0,44
"PA_113493291010661";"acer_pensylvanicum";-79,284182;40,065814;5;25,2665021666667;2,221025493;0,44
"PA_145019833010661";"acer_pensylvanicum";-76,502692;40,737173;2;25,2665021666667;2,221025493;0,44
"PA_58182296010538";"acer_pensylvanicum";-78,68389;41,65933;12;25,2665021666667;2,221025493;0,44
"PA_113493319010661";"acer_pensylvanicum";-78,816595;41,591218;1;25,2665021666667;2,221025493;0,44
"PA_58336546010538";"acer_pensylvanicum";-78,58333;41,40811;1;25,2665021666667;2,221025493;0,44
"PA_247104685010661";"acer_pensylvanicum";-77,98364;40,35073;1;25,2665021666667;2,221025493;0,44
"PA_145019993010661";"acer_pensylvanicum";-76,515142;41,87148;2;25,2665021666667;2,221025493;0,44
"PA_10701388010661";"acer_pensylvanicum";-78,77752;40,33341;1;25,2665021666667;2,221025493;0,44
"PA_247104646010661";"acer_pensylvanicum";-78,31236;40,38071;2;25,2665021666667;2,221025493;0,44
"PA_68317387010538";"acer_pensylvanicum";-77,8657;40,99618;2;25,2665021666667;2,221025493;0,44
"PA_145020149010661";"acer_pensylvanicum";-77,695029;40,195373;2;25,2665021666667;2,221025493;0,44
"PA_68282715010538";"acer_pensylvanicum";-78,72012;41,83673;1;25,2665021666667;2,221025493;0,44
"PA_145020005010661";"acer_pensylvanicum";-76,538343;41,480554;7;25,2665021666667;2,221025493;0,44
"PA_68288961010538";"acer_pensylvanicum";-77,83752;41,62124;2;25,2665021666667;2,221025493;0,44
"PA_10701495010661";"acer_pensylvanicum";-78,61086;40,69451;6;25,2665021666667;2,221025493;0,44
"PA_58182523010538";"acer_pensylvanicum";-78,72012;41,83673;1;25,2665021666667;2,221025493;0,44
"PA_247104700010661";"acer_pensylvanicum";-76,92617;41,89777;1;25,2665021666667;2,221025493;0,44
"PA_113492905010661";"acer_pensylvanicum";-77,663151;40,553421;1;25,2665021666667;2,221025493;0,44
"PA_145020151010661";"acer_pensylvanicum";-77,795239;40,28634;3;25,2665021666667;2,221025493;0,44
"PA_222095242010661";"acer_pensylvanicum";-78,99273;40,37044;5;25,2665021666667;2,221025493;0,44
"PA_10700506010661";"acer_pensylvanicum";-78,66641;40,27785;3;25,2665021666667;2,221025493;0,44
"PA_76859256010538";"acer_pensylvanicum";-76,6183;41,87535;2;25,2665021666667;2,221025493;0,44
"PA_10794640010661";"acer_pensylvanicum";-79,38865;39,86119;1;25,2665021666667;2,221025493;0,44
"PA_247104705010661";"acer_pensylvanicum";-76,96627;41,58877;3;25,2665021666667;2,221025493;0,44
"PA_222095272010661";"acer_pensylvanicum";-78,13441;41,96076;1;25,2665021666667;2,221025493;0,44
"PA_10717536010661";"acer_pensylvanicum";-77,47193;41,0834;3;25,2665021666667;2,221025493;0,44
"PA_10692419010661";"acer_pensylvanicum";-78,36085;40,38896;1;25,2665021666667;2,221025493;0,44
"PA_222095124010661";"acer_pensylvanicum";-78,85434;41,94056;2;25,2665021666667;2,221025493;0,44
"PA_247104617010661";"acer_pensylvanicum";-78,30595;40,70657;2;25,2665021666667;2,221025493;0,44
"PA_113492909010661";"acer_pensylvanicum";-77,854254;40,536485;2;25,2665021666667;2,221025493;0,44
"PA_68311143010538";"acer_pensylvanicum";-76,64031;41,59252;12;25,2665021666667;2,221025493;0,44
"PA_68282881010538";"acer_pensylvanicum";-78,64613;41,74729;5;25,2665021666667;2,221025493;0,44
"PA_58539772010538";"acer_pensylvanicum";-76,821869;40,440157;1;25,2665021666667;2,221025493;0,44
"PA_10798897010661";"acer_pensylvanicum";-76,52745;41,4723;1;25,2665021666667;2,221025493;0,44
"PA_76864652010538";"acer_pensylvanicum";-78,09378;40,82739;2;25,2665021666667;2,221025493;0,44
"PA_222095486010661";"acer_pensylvanicum";-78,19648;40,66043;1;25,2665021666667;2,221025493;0,44
"PA_222095502010661";"acer_pensylvanicum";-78,30221;40,18796;2;25,2665021666667;2,221025493;0,44
"PA_113492503010661";"acer_pensylvanicum";-76,216575;41,607003;3;25,2665021666667;2,221025493;0,44
"PA_10717577010661";"acer_pensylvanicum";-77,41637;41,02785;1;25,2665021666667;2,221025493;0,44
"PA_10692473010661";"acer_pensylvanicum";-78,27751;40,55562;1;25,2665021666667;2,221025493;0,44
"PA_10713665010661";"acer_pensylvanicum";-78,49974;40,83339;1;25,2665021666667;2,221025493;0,44
"PA_58182743010538";"acer_pensylvanicum";-78,7949;41,74227;2;25,2665021666667;2,221025493;0,44
"PA_10788605010661";"acer_pensylvanicum";-77,66638;41,66674;5;25,2665021666667;2,221025493;0,44
"PA_113494005010661";"acer_pensylvanicum";-78,492829;39,977382;1;25,2665021666667;2,221025493;0,44
"PA_10796901010661";"acer_pensylvanicum";-79,16642;39,83341;2;25,2665021666667;2,221025493;0,44
"PA_122562080010661";"acer_pensylvanicum";-78,47423;40,39256;1;25,2665021666667;2,221025493;0,44
"PA_113492913010661";"acer_pensylvanicum";-77,902098;40,386062;1;25,2665021666667;2,221025493;0,44
"PA_68280140010538";"acer_pensylvanicum";-76,88071;41,47882;1;25,2665021666667;2,221025493;0,44
"PA_68282954010538";"acer_pensylvanicum";-78,7949;41,74227;3;25,2665021666667;2,221025493;0,44
"PA_68289345010538";"acer_pensylvanicum";-77,82581;41,68362;3;25,2665021666667;2,221025493;0,44
"PA_76864918010538";"acer_pensylvanicum";-77,32039;40,98946;1;25,2665021666667;2,221025493;0,44
"PA_222095516010661";"acer_pensylvanicum";-78,60508;39,91707;1;25,2665021666667;2,221025493;0,44
"PA_58310743010538";"acer_pensylvanicum";-77,51961;40,56655;4;25,2665021666667;2,221025493;0,44
"PA_113492325010661";"acer_pensylvanicum";-75,390171;41,447768;7;25,2665021666667;2,221025493;0,44
"PA_122562082010661";"acer_pensylvanicum";-78,52034;40,31027;3;25,2665021666667;2,221025493;0,44
"PA_122562156010661";"acer_pensylvanicum";-78,83852;40,32939;2;25,2665021666667;2,221025493;0,44
"PA_222095230010661";"acer_pensylvanicum";-78,88391;40,62176;1;25,2665021666667;2,221025493;0,44
"PA_222095490010661";"acer_pensylvanicum";-78,22077;40,59888;1;25,2665021666667;2,221025493;0,44
"PA_10792086010661";"acer_pensylvanicum";-76,36078;40,75009;1;25,2665021666667;2,221025493;0,44
"PA_113492511010661";"acer_pensylvanicum";-76,116867;41,36543;6;25,2665021666667;2,221025493;0,44
